Gene,log2fc
Fibcd1,6.089912378446959
Man1a,3.8322342872856594
Ccn3,3.5584974307778006
Kcnh7,3.4916508863221924
Doc2b,3.306280695758738
Rasl11b,3.0011820192745198
Mpped1,2.9112680138077978
Pou3f1,2.89800572559792
Wfs1,2.8959998069090855
Sez6,2.8262200685440075
Igfbp4,2.808377897542699
Rprml,2.754652374050173
Plk2,2.701236525458612
Gm2115,2.485293100383452
Itpka,2.4459574194952634
Sstr4,2.313715473645796
Kcnd2,2.293569464430077
Arhgap12,2.2602677297992186
Hs6st3,2.100628916335127
Rasd1,2.0805122616289493
Rasgrp1,1.9907828375490257
Neurod6,1.9679091955679935
Slc24a3,1.9008398426646038
Nrgn,1.8424782110317426
Vxn,1.837256846950281
Epha6,1.8151118582407866
Mical2,1.7228595374885756
Stum,1.7214609687603926
Ociad2,1.6367962680621437
Scn3b,1.6354470230627898
Atp2b1,1.6141891592681619
Shisa7,1.6100284843352346
Grin2a,1.5760169320850517
Nup93,1.518297485541128
Cpne7,1.5057177972860147
Kctd16,1.5055758321376178
Crim1,1.5014246971982808
Cck,1.40642310592582
Bcl11a,1.3925802718750462
AI593442,1.345231065692289
Fam131a,1.3411236990725115
2010300C02Rik,1.3320348979618923
Zbtb18,1.3223908952872618
Wasf1,1.2831067723516953
Shisa6,1.2738525763038344
Prkcg,1.2514994033315971
Scn8a,1.2303086926580469
Cpt1c,1.2211586083977264
Dkk3,1.2123243023326142
Lrrn2,1.1686803024815104
Hapln4,1.1344068730222345
Nr3c2,1.113554763181172
Arpc4,1.101060620433418
Dbn1,1.0810732946682224
Rasgrf1,1.0740860877238367
Disp2,1.062372518429751
Cacng8,1.0298528224020456
Ppm1e,1.016582603083308
Cnr1,0.9670685746797818
Tmem179,0.9402462737513916
Gria2,0.9391157556775948
Calm3,0.9347297829056045
Grin2b,0.9210668759711363
Calb1,0.9095349219396687
Icam5,0.8365013794187623
Crmp1,0.8361053170590607
Rapgef5,0.8319724228576089
Numbl,0.8311590228011837
Faah,0.8225435227799374
Sh3bp5,0.8201137042353551
Ppp3ca,0.81749912264145
Adcy1,0.7894953082993919
Sphkap,0.7670660316162812
Gabbr2,0.7291754350448144
Chn1,0.7183964900994702
Opcml,0.7061013636805569
Nedd4l,0.691542583957472
Kcnq2,0.6904811463373988
Gng3,0.6400491614204886
Dock4,0.5936106679407303
Astn1,0.5931163971506517
Ntrk3,0.5473074303309065
Celsr2,0.5386755971883492
Hspa12a,0.536454019164577
Camk2b,0.5273218556642844
Plppr4,0.4973173991997202
Ppp3cb,0.496974176211297
Gls,0.47881061898533683
Dnm1,0.4672034201372867
Galnt17,0.46326927877989604
Ppp3r1,0.4626789093070895
Gria1,0.46184544806780053
Ptk2b,0.4469584630401351
Celf3,0.4403420651147763
Camta1,0.43293136665106946
Snap91,0.3923877772325642
Snn,0.3918059630447424
Bsg,0.3795054688617804
Synj1,0.3695988550170954
Cend1,0.3515441042747661
Ap1s1,0.28262952013908343
Elmod1,0.2711875594997094
Cnksr2,0.23255544880901
Bsn,0.22692553195162501
Sdcbp,0.2245923869300714
Nefm,0.10375625829448476
Syn1,0.032569631096654436
Arpc3,0.02714831582332877
Lynx1,0.017002147134642112
Syp,-0.0031952484771075014
Pnmal2,-0.005548043343546369
Nefl,-0.034717528832254305
Nell2,-0.0543256882989556
Erc2,-0.06639447377302338
Camta2,-0.07348117398523842
Ywhag,-0.10290540479997021
Snap25,-0.1124226574261894
Cacna2d1,-0.18676227530517595
Sh3gl2,-0.19318106738351987
Baiap2,-0.21751899978888248
Pcsk2,-0.21767911445489344
Slc24a2,-0.25242639016482726
Ywhah,-0.33127632477283
Gfap,-0.3337855899577935
Nsf,-0.33801768972025187
Aldoa,-0.36610890653317246
Prkce,-0.4298049996420261
Hpca,-0.6223353608337392
Gabrb3,-0.64532512631592
Uchl1,-0.7000980058357837
Slc17a7,-0.7250962819726701
Chgb,-0.7632953871260261
Stmn2,-0.7707375059967632
Olfm1,-1.372431553759203
Ttr,-4.007703504576917
