SYMBOL,Log2FC
IGHG1,-6.801942815
IGKC,-6.753258251
IGFBP3,-6.938454959
COL1A1,-6.215896425
COL1A2,-6.217835932
COL3A1,-6.073148529
SFRP4,-7.086616747
MMP2,-6.325599823
LUM,-6.163505278
SPARC,-5.855867491
THBS2,-6.542092365
IGFBP5,-6.260284588
COMP,-7.828836548
COL11A1,-7.365069018
COL6A3,-5.986463675
AEBP1,-6.126608808
SULF1,-6.278253401
DCN,-6.023976919
COL5A1,-5.813381075
VIM,-5.513025943
IGFBP7,-5.710018971
VCAN,-5.848697961
COL6A2,-5.694713911
CTHRC1,-5.998049664
THY1,-5.944399928
COL5A2,-5.927356696
SFRP2,-6.60893942
LGALS1,-5.462750876
ACTA2,-5.852662398
COL4A1,-5.679760757
POSTN,-6.451583092
TIMP2,-5.501684018
FSTL1,-5.826718903
FBN1,-6.461055793
C3,-5.827608755
CDH11,-6.22066883
BGN,-5.94113585
HTRA3,-5.743804269
COL12A1,-5.679447395
C1S,-5.464669271
SPP1,-5.64150107
BST2,-5.680990913
ANTXR1,-5.736347589
APOE,-5.375897693
A2M,-5.284528548
HTRA1,-5.716121291
COL4A2,-5.617770987
C1R,-5.425930941
CALD1,-5.155975172
LYZ,-5.416940276
PDGFRB,-5.627957558
ISLR,-5.73190685
PECAM1,-5.821577274
ADAM12,-6.404119628
LOXL2,-5.968123684
GREM1,-6.275895293
MMP9,-6.17246475
SPON2,-5.780450672
C1QC,-5.296995413
CD248,-6.285784022
SRGN,-5.165926348
ELN,-5.962163645
TNC,-5.450955349
LAPTM5,-5.350383119
RGS5,-5.460701233
ADAMTS2,-6.042760395
TAGLN,-4.765551766
COL8A1,-6.488576406
GPNMB,-5.671095896
COL6A1,-4.890195109
ANGPTL2,-6.103560467
EVL,-5.577384686
C1QB,-5.281473141
SDC2,-5.755974706
LAMA4,-5.465203942
DKK3,-5.434714281
ITGA11,-6.153259936
PDPN,-5.657056625
ENTPD1,-5.868887846
ITGA5,-5.446443953
FBLN1,-5.129873249
MGP,-5.273235946
PLXDC2,-5.324371852
IFI16,-5.422641449
INHBA,-5.028799303
COL18A1,-5.475012617
EMILIN1,-5.400655218
NNMT,-5.533837965
C1QA,-5.128507503
ADAMTS12,-6.204141105
VWF,-5.965588894
RAB31,-5.714136106
SERPINE2,-7.19390192
COL15A1,-5.514302546
ASPN,-5.986695903
ZEB2,-5.842736604
CXCL10,-5.728374651
MMP12,-5.122729158
CTSK,-4.867295871
WIPF1,-5.239540002
TRIM22,-5.537331085
EFEMP1,-6.329523872
MXRA8,-5.238384356
FBLN2,-6.215596992
PLVAP,-5.483408538
SERPING1,-5.189639894
SPI1,-5.0297454
ITGBL1,-6.480884136
LRRC32,-5.945222808
PLXND1,-4.750558031
SPARCL1,-5.243422056
COL10A1,-6.3671215
NRP1,-5.268448874
AXL,-5.010753224
TYROBP,-4.950433683
CD74,-4.293513563
FCER1G,-4.852924372
CALCRL,-5.765743499
CD4,-5.091603345
MRVI1,-5.544450693
ITGB2,-5.674476382
IL1R1,-5.2452488
LSP1,-4.909407152
PXDN,-5.287373402
RGS1,-5.334470119
MFAP5,-6.840960542
FPR3,-5.618923508
PMP22,-5.054279679
EMILIN2,-6.236426537
NID1,-5.160410855
C11orf96,-5.118494518
MMP11,-4.21553016
CSF1R,-5.249043475
MS4A6A,-5.027282064
MCAM,-5.270917974
ANXA1,-4.836854126
MSR1,-5.800851235
MRC2,-4.772915155
EGFL7,-5.64064828
MYL9,-4.250804312
FNDC1,-6.280987537
AKT3,-5.809472407
EHD2,-5.724416637
LTBP2,-5.393961155
LCP1,-4.818209714
STAB1,-5.262512533
ITGAX,-5.356960202
TYMP,-4.994830573
CLIC4,-4.498556364
PLAU,-4.562341831
SLFN11,-5.459605513
PDGFC,-5.515830015
SNAI2,-5.25563091
CD68,-4.302817649
CCDC88A,-5.42569304
PLXDC1,-5.205994992
SERPINB6,-4.788163982
CYBB,-4.962576374
GNB4,-5.419039719
TSHZ2,-5.285992113
LPL,-5.423907526
PDGFRA,-5.149722472
HOPX,-5.994699127
PCDH7,-6.183848256
CD93,-6.13341016
SLC8A1,-4.823817787
MPEG1,-5.176261761
PLEKHO1,-4.837380886
FAP,-5.626861328
KLHL5,-4.981912859
CAV1,-5.724416637
ADGRL4,-5.821638445
RFTN1,-5.426075363
CD34,-5.483408538
PTPRM,-6.064391188
KLF2,-5.141974128
UNC5B,-5.502024216
MDFIC,-5.147359335
TCF4,-5.010849485
MS4A7,-4.986982712
GJB2,-5.284741151
PCDH18,-5.060717466
HEG1,-5.511914965
IFI44L,-4.794610226
COL14A1,-5.295080755
CERCAM,-4.58832914
OSMR,-5.391093788
COL16A1,-5.049878782
CLMP,-5.48676755
FCGR3A,-5.279631795
EDNRA,-5.237572392
TRAC,-5.016840738
AKAP12,-5.359710813
ZEB1,-4.824521309
ACTG2,-4.454045153
PLAT,-4.74465743
CD163,-5.268737153
APOL1,-5.279631795
PCOLCE,-5.167906712
KCTD12,-4.744255384
CD52,-5.148522017
ITGA4,-5.288317522
ITGA1,-4.251354313
CD14,-4.574949992
GAS7,-5.557955491
MAF,-4.933612891
DLC1,-5.416294342
AKR1B1,-4.400753491
LIMS2,-5.015498765
CTSL,-4.350383119
EMP3,-4.489183175
FCGR2A,-5.316758668
RAB34,-5.227611282
TRPV2,-5.589416862
PODN,-5.780705768
DOCK10,-5.651250225
SAMD9L,-5.370328488
TMEM204,-5.448474748
RFLNB,-5.60893942
MYLK,-4.098491027
MFAP4,-5.850289999
SLC15A3,-4.649648869
MMP1,-4.783409853
MSRB3,-5.392128031
COX7A1,-5.589416862
CTSB,-3.717371927
SPOCK1,-6.002346903
SHISA2,-5.495282638
JCAD,-5.64456333
SGK1,-4.1806565
CXCR4,-5.146904441
NID2,-4.641000629
CCDC3,-5.176371996
CCN1,-4.390299133
ADAP2,-5.205042478
CALHM2,-5.487260863
WNT2,-5.406980591
SERPINF1,-4.018501789
VEGFC,-6.218733773
GJA1,-5.361011906
NR3C1,-5.279477652
PRRX1,-6.073220438
PLXNC1,-4.769572818
FAT4,-5.320434326
CLEC2B,-5.215596992
COL5A3,-5.185657926
COLEC12,-5.222756783
AIF1,-4.321177928
STOM,-4.393601756
EVC,-5.800958192
LDB2,-5.314973154
HSPG2,-3.970266332
TMEM119,-6.179688061
ADAMDEC1,-5.682188402
MRC1,-6.121389421
FGL2,-5.122966014
SLFN5,-4.236280523
THBD,-5.393210729
CSF1,-5.224845628
OLR1,-5.157002338
ATP8B2,-5.322943865
VCAM1,-5.273669197
LRRC15,-5.562600705
ADGRA2,-4.542302227
CAV2,-4.623526956
KDR,-5.426825009
MAFB,-4.892877929
ID3,-4.57671545
PALLD,-3.861726133
HK3,-5.381528924
LOXL1,-4.4205817
CFH,-5.836230641
MEIS1,-4.657437937
FOXF1,-5.74445439
FAM20C,-4.267558962
CDK14,-5.622745219
DPYSL3,-4.370682587
S1PR3,-4.999173528
CD53,-5.101537902
GUCY1A1,-5.206840976
CYBRD1,-5.006187606
GGT5,-5.559108264
CNN1,-4.778864421
