SYMBOL,Log2FC
VIM,5.222950971
A2M,5.360000305063715
IGFBP7,5.256746817221209
COL4A1,5.4577260257105324
COL3A1,5.065081892566529
RGS5,5.7900751206414665
PECAM1,5.988840293073027
COL4A2,5.413713164
SPARC,4.911504078066807
IGFBP3,5.670435813625313
COL1A2,4.952777400496434
MMP2,5.105368921695945
COL6A2,4.979799119792679
THY1,5.279920347974065
LGALS1,4.928172031202325
IGFBP5,5.2881500200440374
VCAN,5.038453998
COL1A1,4.848652062616006
COL5A1,4.917811480644218
SULF1,5.208256213332201
COL6A3,4.894400432078708
SRGN,5.164104276834185
ACTA2,5.240022654266421
PDGFRB,5.234469422979855
APOE,5.158986902957099
C1QB,5.223581107
C1QC,5.0524884918744295
LUM,4.830305966969021
LAPTM5,5.213095772187288
BST2,5.063073762847198
DCN,4.976807474630667
LAMA4,5.2253057873065805
PLVAP,5.781506851075074
NRP1,5.555228870544596
IGHG1,5.998307316675142
AEBP1,4.910496402107469
LYZ,5.280301787277025
THBS2,5.195355924372178
CDH11,5.305844535016809
IGKC,5.904361155483295
VWF,5.8302386786575955
MCAM,5.657771483
HTRA1,5.122519579055245
FSTL1,4.930359074143147
C1S,4.759429583330072
SFRP4,5.633196732663668
COL5A2,4.841398794698988
PLXND1,4.853871292336446
C1QA,5.026788364204988
BGN,5.034765856046625
C1R,4.761199793774427
ENTPD1,5.5686838911950485
EVL,5.3387525713596755
NID1,5.328152370285332
COL18A1,5.269808384054527
MS4A6A,5.240963185065357
TIMP2,4.576684649363107
STAB1,5.4928155216121155
COL12A1,4.768849413552189
IFI16,5.135302300980541
ZEB2,5.517803390424181
CALD1,4.438491396432445
WIPF1,4.9998645829617185
ISLR,4.821118300328899
CD74,4.351612987168607
RGS1,5.381433275978857
CALCRL,5.8761545137129545
FBN1,5.1919559956972074
CD4,5.255691289881426
COL11A1,5.534978534232312
EMILIN1,5.022165819266992
PLXDC1,5.330258693
SDC2,5.1332595198172575
SPP1,5.321963067681444
COL6A1,4.3856009101940865
SPI1,5.041253319880237
LOXL2,4.877183153499715
HTRA3,4.543863426530132
TYROBP,4.985354994585829
CD248,5.610702297970075
PDPN,4.974352500528356
COL15A1,5.0507574698074675
CTHRC1,4.664261551
TRIM22,5.153299632
SPARCL1,5.211823135960948
CCDC88A,5.656992309322709
GPNMB,5.300650499964333
ANTXR1,4.559822605209792
MMP9,5.872673944977992
SPON2,4.795307780401582
C3,4.866824670277891
SLC8A1,4.820811832979708
EGFL7,5.664153698223102
CYBB,4.885613001
MS4A7,5.211402586463468
CSF1R,5.0280820318395705
ADGRL4,6.284692621140507
ITGB2,5.459713584799871
LRRC32,5.374467563197873
CD34,6.062385667519775
PLXDC2,4.756133604477374
IRAG1,5.052049016047922
PDGFRA,4.983198466461901
MGP,4.709439297455303
EDNRA,5.234469422979856
SERPINB6,4.718730363440605
DKK3,4.7007874272023935
LCP1,4.834538816091221
MPEG1,5.126513688876955
CD93,5.8395394971495875
C11orf96,4.8302386786575955
LSP1,4.607927819
PXDN,4.772523180801308
FPR3,5.345944709842296
FCER1G,4.8782549772412915
KDR,5.918307174
NNMT,4.739775892847225
PLAU,4.378859332315031
FCGR3A,5.352864123782087
ANGPTL2,5.138936986421006
TAGLN,4.052328791732645
TCF4,4.8465114577572965
AKT3,5.351114341832126
ITGA5,4.9097113243025206
TYMP,4.8345388160912215
SERPING1,4.724750670553108
TRPV2,5.536171337145147
DOCK10,5.524198695
ADAM12,5.052309679687291
PCDH18,5.093273084491389
CD68,4.148327566168566
TMEM204,5.3250211806874805
FBLN1,4.328369561861338
KLHL5,4.736358422152318
COMP,5.737416349193117
EMILIN2,5.589426318
ADAP2,5.383644394880408
AXL,4.434622603837039
ADAMTS2,4.6700682447410164
CD14,4.561789255424215
SLFN11,5.093925444909869
ADAMTS12,4.971683950809156
CCDC3,5.100971798386879
FCGR2A,5.2863471935254935
GNB4,4.956697398602806
ZEB1,4.705989742444446
AIF1,4.491691828479404
DLC1,5.326391912420895
TNC,4.711256373800378
MMP12,5.051416575640568
STOM,4.541412345100991
ADGRF5,5.655568675045901
S1PR3,5.151551420564467
CAV1,5.1075573104976355
PLEKHO1,4.526463446033935
ITGA1,4.145788142452556
HEG1,5.3838774070816555
RFTN1,4.962525028417735
SGK1,4.284222458176956
CXCR4,5.185036063175353
CCDC102B,5.628087938623794
PTPRM,5.8822919475395885
CYYR1,6.156466910978583
COL8A1,5.249576315370065
ITGA4,4.9947158409819705
MXRA8,4.412026196
KLF2,4.779309295370828
SFRP2,4.9529335168934505
CD163,5.146816740944863
CTSK,4.007907005423013
PMP22,4.5619816361389205
RFLNB,5.113762460024345
LDB2,5.612981046233587
FGL2,5.1807962403403245
COX7A1,5.326391912420895
LTBP2,4.612376691672955
ITGA11,4.768305117691134
TBX2,5.619867431818825
COL5A3,4.813998037650384
UNC5B,5.030936028894724
PLA2G7,4.520105257750783
RAMP3,5.669115206883848
PLAT,4.369545581175402
CALHM2,5.136838104229652
LIMS2,4.8436794699476895
CLEC2B,4.893432505144789
ELN,4.8580271690135906
THBD,5.144083187
ID3,4.499248321215916
SNAI2,4.67219841
NR3C1,4.899691495616472
MRC2,4.227388697
MMP11,3.720105642890692
NID2,4.448647662471894
MYL9,3.703138009377925
GJA1,4.832031960480646
ADAMDEC1,5.017760640146991
LPL,5.456640453225425
NDUFA4L2,5.827844163517213
IL7R,4.915458811474787
FBLN2,5.221758371230303
ECSCR,6.176366468416288
GREM1,4.808543607558276
