cell_id,group
aaaaaohf-1,Tumor1
aaaafefl-1,Tumor3
aaaahjao-1,Tumor1
aaaajdej-1,Tumor1
aaaakcik-1,Tumor1
aaaaknop-1,Tumor1
aaaamepl-1,Tumor1
aaaanang-1,Tumor3
aaaapjmp-1,Tumor3
aaababaf-1,Tumor1
aaabbcid-1,Tumor3
aaabcigg-1,Tumor3
aaabdbih-1,Tumor1
aaabdeeh-1,T Cells
aaabdgoh-1,T Cells
aaabfbjp-1,T Cells
aaabglhc-1,Mast Cells
aaabiogn-1,Fibroblasts
aaabioio-1,T Cells
aaabkfaa-1,Plasma Cells
aaabklil-1,Macrophages
aaablcba-1,T Cells
aaabonao-1,T Cells
aaabpkbp-1,T Cells
aaabpnpd-1,Mast Cells
aaacaaac-1,T Cells
aaacafil-1,T Cells
aaacbjlb-1,T Cells
aaaccccj-1,B Cells
aaacddml-1,Tumor1
aaaceool-1,Tumor1
aaacfhbg-1,Tumor3
aaachmhl-1,Plasma Cells
aaachppe-1,T Cells
aaacifpc-1,Tumor3
aaackjao-1,Tumor1
aaaclhpj-1,Tumor1
aaacljgp-1,Tumor1
aaacmanj-1,Tumor1
aaacmdcm-1,Tumor1
aaacmkjp-1,Tumor1
aaacndie-1,Tumor1
aaacnllp-1,Tumor1
aaadamno-1,Tumor1
aaadbdpd-1,Tumor1
aaadbebc-1,T Cells
aaadbgdl-1,Macrophages
aaadclhp-1,T Cells
aaadcpdo-1,T Cells
aaaddljk-1,B Cells
aaadejoa-1,Macrophages
aaadhkcf-1,Tumor1
aaadigdk-1,Tumor1
aaadknmi-1,Tumor1
aaadlfng-1,Tumor1
aaaeaehg-1,Tumor1
aaaeagfl-1,Tumor3
aaaebfbi-1,Tumor1
aaaebobg-1,Tumor1
aaaecblc-1,Tumor1
aaaeeogg-1,Tumor1
aaaekaba-1,Tumor1
aaaekbbc-1,Tumor1
aaaeognk-1,Tumor1
aaaeomcm-1,Tumor1
aaaepeao-1,Tumor1
aaafdeca-1,Tumor1
aaafdlje-1,Tumor1
