Gene,log2fc
Cd74,3.97155460853019
Sst,3.3690984980052234
Vim,3.2145610103858826
Gfap,2.9283635433299535
Gja1,2.850750904641245
Adcy1,2.388392446223755
Aqp4,2.3412271943806435
Cebpd,2.340092844299363
Ezr,2.0544430068068387
Npc2,1.9757756135670388
Doc2b,1.9551033006595988
Pde1b,1.953828658237993
Vxn,1.8900997905581625
Stxbp6,1.846935272594986
Abhd2,1.8447089019983718
Mfge8,1.8184453035745605
Pltp,1.6760298991247922
Rph3a,1.6250726743770592
Mpped1,1.5414114185255545
Adcyap1r1,1.452979236293826
Mrtfb,1.3567344165463526
Cabp1,1.2791434864415276
Kcnab1,1.083558674479142
Kndc1,1.0567191740359312
Cnr1,1.0504971530683145
2010300C02Rik,1.0208560815630885
Brinp1,0.9855613552979134
Chst2,0.9345007807229992
AI593442,0.9094320768238597
Ntrk3,0.8829412998757198
Crmp1,0.8779694929570492
Ryr2,0.8404201886688455
Nos1ap,0.8396362520060898
Snap91,0.8382636521207762
Gng3,0.8195180313921152
Ccdc85a,0.7953225067977008
Ahcyl2,0.7830060909317393
Ap1s1,0.7800989915169153
Ly6e,0.7573256490645999
Ncdn,0.755504330530804
Itpka,0.7505730583108187
Klhl2,0.7395206057335734
Lynx1,0.7280362487153521
Mapk1,0.7181232620292642
Astn1,0.7173344344655777
Bsg,0.6861342055444243
Lingo1,0.6522052060736814
Cdk14,0.6448547632623232
Atp6v1b2,0.6093761777811223
Sh3bp5,0.6022098959265326
Sprn,0.6000654822840138
Sdcbp,0.5847851474311313
Agtpbp1,0.5609636123917165
Cacna2d1,0.5575630713197416
Gria1,0.5507508586536906
Mmp17,0.5474388063514318
Dync1i1,0.5170320885991914
Acot7,0.5107446987249422
Ywhah,0.4984618534738892
Asph,0.47636934954806315
Grin2b,0.40766323759717277
Aldoa,0.40333200534096253
Synj1,0.4009449247689322
Baiap2,0.3879219894346655
Slc17a7,0.359562548849581
Cadm3,0.3278098053415012
Ppp3cb,0.3216904609107327
Prkce,0.26686530858547597
Camta2,0.24670646692752904
Map1b,0.24621035954677936
Ppp3ca,0.23656209285255894
Celsr2,0.19583204952772942
Enc1,0.19314551318198497
Epha4,0.17831420761651307
Slc24a2,0.17116799350025017
Cabp7,0.1695242890708871
Cend1,0.16013098183741625
Olfm1,0.1582335216321934
Kcnq2,0.15821194692857365
Pcp4,0.12607347055854706
Tubb2a,0.08749789885767133
Rogdi,0.0868995469099912
Dkk3,0.014265790628330357
Map2k1,0.0056061607908570125
Gabrb3,-0.016790503576568822
Calm3,-0.0845291349678114
Rnf112,-0.0894554900745063
Cnksr2,-0.09980152506359648
Diras2,-0.10148811753881685
Cck,-0.24526433451123458
Zbtb18,-0.28368237636451604
Lmo4,-0.3088803924383104
Syn2,-0.41349167155525374
Syp,-0.43228019709509913
Mllt11,-0.43845402541876327
Pnmal2,-0.47618126447822934
Nsf,-0.5149442445494082
Ptk2b,-0.5330458700782165
Rasgrf1,-0.5488962266637789
Uchl1,-0.5791293135691296
Nrgn,-0.68299883164203945
Ywhag,-0.7509856328997526
Snap25,-0.7859325038562066
Nell2,-1.0530343648871816
Sh3gl2,-1.1753403810098078
Camk2b,-1.240559789389741
Dnm1,-2.1191882675315394
Ttr,-2.9604825952634566
