Gene,log2fc
Prkcd,4.130982639093588
Fxyd1,3.022131795359953
Aqp4,2.8604829457651904
Tenm3,2.8592374826309293
Timp3,2.6601470634896542
Pcp4,2.615732432597793
Gfap,2.5013227372931097
Pbxip1,2.2343266430714954
Aldh2,2.0938621170386997
Adcyap1r1,2.0896898953316567
Mapk4,1.9685207229767339
Kcnc2,1.8966919239037279
Efr3b,1.8061364201191057
Mog,1.7658716349809405
Mpped1,1.6930390243186078
Igfbp2,1.5950516657741114
Gas6,1.5787856932543418
Hmgcs1,1.3936483937724573
Ube2ql1,1.3622128382754153
Bsg,1.2842068020791821
Gja1,1.2774352680819496
Chst2,1.2352918781559583
Syp,1.1936489592625994
Cabp7,1.1419609225850982
Celf3,1.1300177877227993
Nbl1,1.101590348114207
Trnp1,1.097047664624012
Bsn,1.080222331422979
Sv2b,1.0763758092078322
Dock9,1.043316201390993
Fgfr1,1.0328614264505587
Cend1,1.0109921225418037
Tmem179,1.000453927263124
Cabp1,0.9874386909658655
Cacna1a,0.9770937886234631
Epdr1,0.9711210025773412
Gabbr2,0.9574300902956826
Fgf13,0.9558308364337801
Enpp2,0.9446977440341912
Pgm2l1,0.9279104303722964
Rab3a,0.9184463681981618
Lmo4,0.9063957840342645
Nos1ap,0.8916473302723635
Ppp1r1b,0.8851946508197372
Arpc3,0.8737146046612337
Dnm1,0.8347750815170054
Rasgrp1,0.8150513732241559
Scn8a,0.7924258053653152
Spock1,0.7834444308566721
Map1b,0.7506815039901711
Pcsk2,0.7480070599615892
Rapgef5,0.7067384929846913
Mllt11,0.6958203746229052
Gls,0.6392708171409711
Pitpnm2,0.6384090733830204
Kcnq2,0.6358463381406809
Aak1,0.620325837654717
Syn1,0.600086055643839
Atp6v1c1,0.5905888942392751
Snap25,0.5861176837372477
Rab15,0.5828149139186592
Kif1bp,0.48434074588521125
Sh3gl2,0.4295927304847535
Chn1,0.41478610842057606
Rph3a,0.39435085444421303
Dpp6,0.3754802224701582
Nefm,0.34262049003226486
Nsf,0.31373495030623877
Snn,0.3113683267438695
Adcy1,0.3061920394807903
Aldoa,0.2933867317079111
Amph,0.27450462748712356
Napb,0.2538123324583392
Stmn2,0.25132018278788193
Cntnap1,0.2413461951244789
Cck,0.23807158017123461
Nefl,0.2247675876666653
Pnmal2,0.21828249431964855
Uchl1,0.2094965161141862
Madd,0.19162284394872386
Dbn1,0.18777490740137448
Rogdi,0.17073081778088925
Cnksr2,0.13638529580004488
Synj1,0.12408418157626264
Ppm1e,0.11375753697640438
Prkce,0.10773181422589419
Rnf112,0.10168107870793261
Vxn,0.0985963171772648
Lingo1,0.08395957260351018
Gng3,0.07228406337987249
Calm3,0.0684664345255931
Slc24a2,0.05517478066721606
Sdcbp,0.043704112612685246
Camta2,0.0026074875214430414
Erc2,-0.06970575442165675
Grin2b,-0.14303891550546116
Nnat,-0.14792092166601664
Fam131a,-0.2938460358058458
Rasgrf1,-0.30699575419217134
Nrn1,-0.4361507575223587
Ywhag,-0.4478028573329155
Nptxr,-0.45096279280830687
Mapk1,-0.5032003167777751
Zbtb18,-0.5676605732277927
Snap91,-0.6030280749514363
Olfm1,-0.8550738712465058
Snca,-0.8707625539717534
Nrgn,-0.8861471519195062
Nell2,-0.9904067338233107
Acot7,-1.0148446005286733
Enc1,-1.0889508725984147
Ttr,-1.158267594922527
Slc17a7,-1.25518357698017
Hpca,-1.453742274904753
Camk2b,-1.5817683540996068
Gria1,-1.6660971394984512
Ncdn,-1.9799010436760192
