Gene,log2fc
C1ql2,3.974695698685061
Prox1,3.549192603427775
Sema5a,3.114380362538988
Glis3,3.083249120755388
Lrrtm4,3.0036306617967403
Rasl10a,2.8313174118393722
Smoc2,2.7275907781218627
Fam163b,2.7042137111732982
C1ql3,2.690543666617826
Pde1b,2.4703646725528317
Rfx3,2.457791380696387
Epha7,2.414069670322866
Bhlhe22,2.3595102054055714
Rab40b,2.3390152016047727
Pnck,2.311971146116617
Smad3,2.276124240912101
Kctd4,2.2605890767393992
Ppfia2,2.19243845096299
Trank1,2.16036223169039
Tiam1,2.118567999057031
Adcyap1r1,2.070491228440262
Tafa2,2.0383009762871827
Pcdh20,2.0219321561331722
Adcy1,1.9845295449683786
Stxbp6,1.981109955894631
Btbd3,1.9654263572062702
Synpr,1.9368145402312933
Jun,1.8978721308659754
Limd2,1.8515491236238257
Grik2,1.8337718480788385
Rogdi,1.8256632771829644
Unc5a,1.8034268526697514
Ptprj,1.8033062995024536
Lratd1,1.7210432397206246
Rreb1,1.7203364308934066
Neurod2,1.7094993660875575
Slc30a3,1.669113223720212
Gabrb3,1.611540273004117
Ccsap,1.6105526280659488
Rapgef5,1.5787478663759165
Kcnd3,1.5350336453880615
Ccdc85a,1.5277680293784053
Celf3,1.5223560143811912
Kctd12,1.494868557672746
Vstm2a,1.4804390203447897
Clstn2,1.4769012358675988
Ahcyl2,1.469521750059168
Dgkh,1.397032505833281
Dbn1,1.395595414559051
Pnmal2,1.3773163431541067
Icam5,1.294131186677047
Galnt17,1.245245417660462
Slit1,1.2307497472293643
Ntng2,1.2118942254160037
Prkce,1.1816209510348743
Mmp17,1.1786329385558256
AI593442,1.1703460345697274
Plppr4,1.0960045497038697
Nedd4l,1.0943140816363708
Asphd2,1.039268075904356
Hap1,1.0353601925253693
Ncdn,1.03274198566687
2010300C02Rik,1.02250223181664
Grin2b,0.9910583191568978
Chn1,0.9676009077832692
Camkk1,0.9305403653052642
Pcp4,0.9299980590554667
Nptx1,0.9108004887899388
Stim2,0.9030209915874927
Elmod1,0.8982928222831031
Mycbp2,0.8888033402654014
Olfm1,0.8782480041154656
Phyhip,0.8574663595113721
Mrtfb,0.8396178085766837
Ntrk3,0.829629840902379
Wasf1,0.8131492895749962
Cacna2d1,0.8078346611806217
Diras2,0.8006478836981844
Shisa6,0.781919659212247
Rnf112,0.721804327580777
Snca,0.7043608698597731
Grin2a,0.6854979955442887
Calb1,0.6717042114195629
Map2k1,0.6585793100080691
Cntnap1,0.6539894202759948
Nefl,0.6110288505568893
Pitpnm2,0.6078423184575182
Sdcbp,0.5912163090171607
Enc1,0.5716341839914408
Klhl2,0.5373137818990947
Asph,0.526470416023113
Brinp1,0.5238705978689628
Lrrn2,0.478199318419922
Camk2b,0.4753890948137886
Fam131a,0.4587439427063252
Mmd,0.4354980157439605
Zbtb18,0.4290431524312678
Baiap2,0.40502350176984886
Ak5,0.3783943728653238
Arhgef25,0.36475533108805785
Epha4,0.35053137818116714
Hspa12a,0.31963496468170444
Gls,0.2971407137923703
Cadm3,0.2963490872005816
Ppp3ca,0.28805657370692817
Gria1,0.2690483189260379
Rph3a,0.26669636473983765
Itpka,0.26061817954467353
Madd,0.24401198776508135
Bsn,0.23148428514821942
Sprn,0.1991485281198112
Napb,0.17412740563781742
Tubb2a,0.16508514512153685
Atp6v1b2,0.12831954082335723
Syn2,0.12377428371104679
Camta1,0.0877628130247219
Rasgrf1,0.08713786329500621
Cacng8,0.08338069170525546
Kcnq2,0.08088391098126527
Syp,0.06067860121063938
Ywhah,0.03535783304451461
Dnm1,0.026678616781346417
Uchl1,0.018948824467011766
Slc17a7,-0.05035289345742568
Nrgn,-0.05763908502406257
Aldoa,-0.0696597967532781
Mapk1,-0.0768457450282753
Nptxr,-0.10124004638303295
Arpc3,-0.10593635957129047
Erc2,-0.18681770632419706
Slc24a2,-0.20796963966107915
Ptk2b,-0.2883523035032363
Calm3,-0.3839875667909881
Bsg,-0.39636955970409515
Mllt11,-0.6762510117117125
Cpne6,-0.7445957066137593
Nell2,-0.7773960824904935
Acot7,-0.8050850536647342
Chgb,-0.8889644938457891
Gfap,-1.1622477336583872
Snap25,-1.7245219651715926
Ttr,-4.4889646630853015
