Gene,log2fc
Camkk1,2.0375086091408225
Sst,1.983023527041023
Diras2,1.9161534001596865
Cacna2d1,1.8831891682163107
Syn1,1.8485583224395652
Atp6v1c1,1.7983444174086645
Cck,1.7837825899406585
Madd,1.7082133696113375
Cabp1,1.6774341143190468
Slc17a7,1.657581622080967
Tnfrsf21,1.646627484525424
Kcnc2,1.6459632388504883
Stmn2,1.5767774557400709
Rph3a,1.5760356273065947
Sprn,1.5485727663882927
Pcsk2,1.534408739750859
Phyhip,1.4883205249800449
Shisa7,1.458140428476547
Plxna4,1.4571569078007387
Itpka,1.4438886626833327
Vgf,1.4282682541594212
Cacna1a,1.3889418104655997
Dkk3,1.3625831986744035
Baiap2,1.359756976140872
Nrgn,1.3583119200732978
Gabrb3,1.3322602036497029
Tspan13,1.3263047171788949
Cntnap1,1.3110384665124606
Snca,1.2165985189859239
Atp2b1,1.2044000393886187
Lmo4,1.1976353248438611
Brinp1,1.1959672658941523
Map2k4,1.1713264154751475
Calm3,1.1070404022580431
Lingo1,1.0660909311324613
Chst2,1.0508745980752516
Inka2,1.048833590187869
Mrtfb,1.0089041815186268
Map2k1,0.9896888540343003
Ube2ql1,0.9700579796043836
Asphd2,0.9450508077791465
Tubb2a,0.9278964023195378
Erc2,0.910771762460403
Pip4k2c,0.8933447928776737
Celsr2,0.8784850349901995
Camta2,0.8779960693500033
Camk2b,0.8403792795009376
Slc25a22,0.8306094524981641
Sphkap,0.814451271897597
Snn,0.7810025885339864
Ywhag,0.7746744832608343
Camk1d,0.7703288728247202
Amph,0.7678714717443342
Cnksr2,0.7667120499985081
Cpne6,0.7654962914948521
Ptk2b,0.7642316149226637
Kctd16,0.7618001896043447
Ppp3cb,0.7541996149205042
Gng3,0.7296050169647418
Gabra5,0.7290706412319864
Fam131a,0.7249416614075215
Bsn,0.722520878032427
Rab3a,0.7155353874208183
Pcdh1,0.7101293810022988
Olfm1,0.7011231197794878
Nptx1,0.7000192117952402
Napb,0.6930690882712806
Sv2b,0.6866684468296814
Crmp1,0.6729447796157145
Stum,0.6158833157185117
Kcnip2,0.6103963537879132
Rab15,0.5749364999458556
Snap25,0.5458728880785849
Cabp7,0.5236732049281798
Grin2b,0.5126638721719602
Camta1,0.4681373931700402
Rasgrf1,0.4423311162903043
Gls,0.43942679785368693
Syn2,0.4028319664013557
Ak5,0.38410414404390897
Dpp6,0.37322318754068146
Mapk1,0.3686068974176595
Epdr1,0.3603991102885162
Dnm1,0.3283922278346984
Arhgef25,0.3115226333543474
Enc1,0.30835368276151776
Prkce,0.28892521314470354
Mmp17,0.26634977673752774
Kcnq2,0.24158197545549082
Rasgrp1,0.21770537443068436
Icam5,0.2172998477741761
Uchl1,0.21040273863029307
Slc24a2,0.1851647789552822
Snap91,0.1468952949049164
Nptxr,0.13646321097650285
Celf3,0.12765496565804907
Wasf1,0.10333472272554785
Cend1,0.04184836923290905
Ywhah,0.01729534972377763
Sh3gl2,-0.01285943316261824
Grin2a,-0.05868127428436025
Elmod1,-0.06893072134018115
Dbn1,-0.07554225301065702
Zbtb18,-0.09229744993658166
Kif1bp,-0.0956908836917972
Gfap,-0.1467076808127019
Ncdn,-0.16365755593000228
Ap1s1,-0.19648275698412715
Nefl,-0.2707801160502015
Plppr4,-0.35737332316739956
Syp,-0.47229838620071163
Cacng8,-0.5334566945622358
Acot7,-0.6196919195093554
Nell2,-0.6527776620219374
Chn1,-0.8187469435597564
Chgb,-0.9104128865631689
Ppp3ca,-1.3334490037403255
Hpca,-1.5931746621686262
Ttr,-3.8000397747009536
